"","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","Dispersal_abiotic","Dispersal_autonomous","Dispersal_biotic","FlowerSex_bisexual","FlowerSex_unisexual","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Pollen.size","Pollen.ovule.ratio","Number.of.carpels","Fusion.of.ovaries","Fruit.length","Fruit.width","Length.of.gynoecium","Outcrossing.rate","Flower.size"
"Dipterocarpus tempehes",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,1,0,0,1,0,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4
"Discaria americana",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,NA,4.5,1,NA,7943,3.5,NA,NA,NA,NA,NA,0.6
"Drosophyllum lusitanicum",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,NA,NA,NA,NA,1,0,0,1,0,0.9,10,21.1,NA,687,5,1,NA,NA,NA,NA,2.7
"Dryas octopetala",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0.5,164,1,38,631,NA,0,NA,NA,NA,0.358333333333333,3
"Durio zibethinus",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,25,60,6,104,NA,5,1,NA,NA,NA,NA,5.5
"Eichhornia crassipes",1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,NA,NA,NA,NA,0,0,1,1,0,NA,6,999,NA,NA,3,1,NA,NA,NA,NA,6
"Eriocaulon parkeri",1,0,0,1,0,1,0,1,1,1,NA,NA,NA,0,0,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
"Eriogonum arborescens",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,2,9,1,NA,NA,3,NA,0.3,NA,NA,0.53,0.275
"Eryngium alpinum",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erythroxylum laurifolium",0,1,0,1,0,1,0,1,1,0,0,1,0,NA,NA,NA,0,0,1,1,0,1,0,1,0,NA,NA,NA,1,0,4.5,10,NA,34.6,NA,NA,NA,1.5,NA,NA,NA,NA
"Eschscholzia californica",1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0.325,19.5,NA,38,NA,2,1,6,NA,NA,NA,4
"Eucalyptus cladocalyx",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eupomatia bennettii",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,1.5,8.5,NA,NA,NA,NA,1,NA,NA,NA,NA,3.5
"Eupomatia laurina",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,NA,NA,NA,1,0,7,60,3,NA,NA,41,1,NA,1.75,NA,NA,2.66666666666667
"Fagus grandifolia",0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,25,11,2,NA,NA,3,NA,NA,NA,NA,1,NA
"Ficaria verna",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0.215,25,1,38,6050,15,NA,0.375,0.26,NA,NA,3.1875
"Filipendula vulgaris",1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0.76,25,2,17.5,NA,9,0,NA,NA,NA,0.915,1.2
"Floerkea proserpinacoides",1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,NA,NA,NA,NA,1,0,0,1,1,0.175,6,1,NA,NA,2.5,NA,NA,NA,NA,NA,2.75
"Fumana ericoides",0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,NA,NA,NA,NA,1,0,0,1,0,NA,29,10.25,NA,567,2,NA,0.7,NA,NA,NA,1.75
"Galium aparine",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,0,0.935,4,1,38,316,2,1,NA,NA,0.85,NA,1.75
"Gelsemium sempervirens",1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,NA,5,4,NA,NA,2,1,NA,NA,NA,NA,2.75
"Gentiana saponaria",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0.48,5,NA,NA,NA,2,1,NA,NA,NA,NA,3.75
"Geranium sanguineum",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0.3,10,2,100,539,5,1,NA,NA,NA,NA,3.1
"Gerbera jamesonii",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,NA,NA,NA,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gesneria cuneifolia",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gomortega keule",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,1,20,8,1,28,NA,2,1,5.25,2.8,NA,0.6675,0.6
"Gonocaryum litorale",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,1,0,0,1,1,NA,5,2,NA,NA,2,1,NA,NA,NA,NA,0.55
"Gossypium hirsutum",0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1.5,80,10,94.6,608,3.5,1,NA,NA,NA,0.204545454545455,7
"Grewia occidentalis",0,1,0,1,0,1,0,1,NA,NA,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,3,76.5,1,NA,8303.5,4,1,NA,NA,NA,NA,3
"Griselinia racemosa",0,1,0,1,0,1,1,0,NA,NA,0,1,0,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,1,0,0,NA,NA,2,5,NA,NA,NA,3,1,0.7,0.425,NA,NA,NA
"Gyrocarpus americanus",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,25,4,1,NA,16124.5,1,NA,NA,NA,NA,NA,0.15
"Hamamelis virginiana",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,5,4,1,17.5,11798.25,2,1,1.2,NA,NA,NA,2
"Hanguana malayana",1,0,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,1,0,0,NA,NA,NA,6,1,NA,NA,3,1,NA,NA,NA,NA,NA
"Haumania danckelmaniana",0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hedychium gardnerianum",1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,NA,NA,NA,NA,0,0,1,1,0,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,8
"Helianthus annuus",1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,2,5,1,38,NA,2,1,NA,NA,NA,0.748181818181818,2.2
"Heliconia irrasa",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,0,NA,NA,NA,1,0,1.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herniaria glabra",1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0.2,5,NA,17.5,NA,NA,NA,NA,NA,NA,NA,0.15
"Hevea brasiliensis",0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,1,0,0,NA,NA,20,10,1,NA,NA,3,1,NA,NA,NA,0.64,0.5025
"Hirtella physophora",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,1,0,0,1,0,0,1,1,0,NA,6,NA,NA,5895,NA,NA,NA,NA,NA,NA,2
"Hordeum bulbosum",1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0.95,3,1,38,NA,2,NA,NA,NA,NA,NA,1.75
"Hydnocarpus heterophylla",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,999,29.05,NA,4,1,NA,NA,NA,NA,1.6
"Hydrastis canadensis",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,0,0.325,53.75,2,23.25,NA,10.75,0,0.65,0.325,NA,NA,1.3
"Hydrocotyle vulgaris",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,1,1,1,0,0,1,0,NA,NA,NA,NA,1,0,0,1,0,0.125,5,NA,NA,NA,2,1,NA,NA,NA,NA,0.15
"Hydrophyllum capitatum",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,1,0,0,1,1,0,0,1,0,0.275,5,NA,NA,NA,NA,NA,0.4,NA,NA,NA,0.7
"Hypericum perforatum",1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0.6,50,30,17.5,NA,3,1,0.475,0.4,NA,NA,1.875
"Hypolytrum pulchrum",1,0,0,1,0,1,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ilex opaca",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,1,0,0,1,1,12.5,4,NA,NA,NA,4,1,NA,NA,NA,NA,0.75
"Impatiens capensis",1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,NA,5,1,NA,NA,5,1,NA,NA,NA,NA,3.3
"Ipomoea alba",1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,NA,NA,NA,1,0,1,0,0,0,1,0,0,1,0,10,5,5,NA,NA,2,NA,3,NA,NA,NA,9
"Iris versicolor",1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,NA,NA,NA,NA,1,0,0,1,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.25
"Irvingbaileya australis",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,1,0,0,1,0,NA,5,1,17.25,NA,2,1,2.3,2,NA,NA,0.41
"Juglans mandshurica",0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,NA,NA,NA,0,1,15,26,1,NA,NA,2,NA,NA,NA,NA,0.99,NA
"Jumellea fragrans",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,1,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juncus effusus",1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0.8825,3,NA,38,48,3,NA,0.19,NA,NA,0.016,NA
"Kalanchoe daigremontiana",1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1.5,8,130,NA,192,4,0.2,0.85,0.35,NA,NA,3
"Kalmia latifolia",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,5,10,NA,38,NA,NA,1,NA,NA,NA,0.9,2.8
"Kielmeyera regalis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirengeshoma palmata",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.81
"Kirkia wilmsii",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA,NA,4.5,NA,NA,NA,4.5,1,NA,NA,NA,NA,1
"Lactoris fernandeziana",0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1.5,6,6,NA,1815.33333333333,3,0,NA,NA,NA,NA,0.4
"Lantana camara",0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,NA,NA,NA,NA,0,0,1,1,0,NA,4,NA,NA,NA,1.5,NA,NA,NA,NA,NA,0.65
"Lapageria rosea",0,1,1,0,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,8,6,132,NA,1157,3,1,4.5,NA,NA,NA,7.5
"Larrea tridentata",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1.6,10,NA,NA,NA,5,NA,NA,NA,NA,0.72,2.5
"Lemna minor",1,0,0,1,1,0,0,1,0,1,NA,NA,NA,0,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,1,0.06,2,1,NA,NA,1,NA,NA,NA,NA,NA,0.08
"Lepidobotrys staudtii",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA,NA,10,2,NA,NA,3,NA,2.3,1.65,NA,NA,0.63
"Limnanthes douglasii",1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,1,0,0,1,0,0.515,10,NA,38,NA,5,NA,NA,NA,NA,0.85,2.8
"Linum perenne",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,1,0,0,1,0,0.6,5,2,NA,NA,5,1,NA,NA,NA,NA,3.5
"Liparis loeselii",1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liriodendron chinense",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,40,60,2,NA,NA,9999,0,8,NA,NA,0.630833333333333,3.5
"Loasa heterophylla",1,0,0,1,0,1,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,1,0,0,1,0,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3
"Lobelia angulata",1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,NA,NA,NA,1,1,1,0,0,0,0,0,1,1,0,0.21,5,NA,NA,NA,2,NA,NA,NA,NA,NA,1.35
"Ludwigia adscendens",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,NA,NA,NA,NA,1,0,0,1,0,0.15,10,7.5,NA,NA,5,NA,1.6,0.18,1.13,NA,3
"Lythrum salicaria",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1.6,12,NA,29.6666666666667,NA,2,1,0.3,0.2,0.2,NA,1.8
"Malesherbia linearifolia",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,1,0,0,1,0,1,5,504.5,NA,NA,3,1,1.275,NA,NA,NA,2.5
"Malpighia emarginata",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,NA,10,1,NA,NA,3,1,NA,NA,NA,0.99,2.25
"Manihot esculenta",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,1,0,0,1,0,5,10,1,NA,NA,3,1,NA,NA,NA,0.96,0.2
"Manilkara zapota",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,0,40,5.5,1,NA,NA,8.75,1,6,NA,NA,0.815,1.8
"Marathrum rubrum",1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0.15,8,940,14.5,616,2,1,0.525,0.195,NA,0.07,NA
"Mayaca fluviatilis",1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,NA,NA,NA,NA,1,0,0,1,0,NA,3,2,NA,NA,3,1,NA,NA,NA,NA,1
"Mazus pumilus",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0.1,4,999,NA,22.07,2,1,NA,0.35,NA,NA,0.7
"Medicago sativa",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0.65,10,15,30.5,399,NA,NA,NA,NA,NA,0.86,1.75
"Melocactus curvispinus",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,NA,154.5,363,NA,400,NA,NA,NA,NA,NA,NA,2.4
"Menispermum canadense",1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,1,0,0,NA,NA,NA,16.5,2,NA,NA,3,NA,NA,1.05,NA,NA,0.225
"Menyanthes trifoliata",1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0.35,5,10,88,NA,2,1,1,NA,NA,NA,1.5
"Miconia affinis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,0,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,0.995,0.5
"Mirabilis jalapa",1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,5,1,100,333.5,1,NA,NA,0.65,NA,NA,4
"Misodendrum linearifolium",0,1,0,1,0,1,1,0,NA,NA,0,1,0,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,1,0,0,0,1,NA,3,1,NA,NA,3,1,NA,NA,NA,NA,0.125
"Mollugo verticillata",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0.24,3.5,10,38,39.5,4,1,NA,NA,NA,NA,0.2
"Monotropa hypopitys",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0.185,9,NA,17.5,NA,5,1,0.8,0.6,NA,NA,NA
"Montinia caryophyllacea",0,1,0,1,0,1,1,0,NA,NA,0,1,0,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA,NA,4,6,NA,NA,2,1,NA,NA,NA,NA,0.5
"Moringa oleifera",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,NA,NA,NA,NA,0,0,1,1,0,12,5,NA,NA,523,3,1,35,2,NA,0.77,2
"Myriophyllum sibiricum",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,0,0,1,0,NA,8,1,NA,NA,4,NA,NA,NA,NA,NA,NA
"Myristica fragrans",0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,8,9.5,1,NA,797664,1,NA,NA,NA,NA,0.9025,1
"Myrothamnus moschata",0,1,0,1,0,1,1,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3.5,0.9,NA,NA,NA,NA,NA
"Myrtus communis",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,0,4,145,NA,17.5,NA,NA,1,NA,NA,NA,0.576071428571429,2.5
"Narthecium ossifragum",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,1,1,NA,NA,NA,NA,1,0,0,1,0,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8
"Nelumbo lutea",1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,2,400,1,NA,NA,24.75,0,NA,NA,NA,0.507894736842105,10
"Nelumbo nucifera",1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,2,300,1,38,NA,30,0,NA,NA,NA,0.982,18.25
"Nemesia strumosa",1,0,0,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,1,0,0,1,0,NA,4,NA,NA,NA,2.5,NA,NA,NA,NA,NA,2.5
"Nepenthes macfarlanei",0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,1
"Nicotiana tabacum",1,0,0,1,0,1,0,1,1,1,NA,NA,NA,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,3,5,NA,38,NA,2,1,NA,NA,NA,NA,4.25
"Nolana humifusa",1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,NA,5,NA,NA,NA,16,1,NA,NA,NA,NA,2.6
"Nothapodytes nimmoniana",0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,NA,NA,NA,1,0,NA,3,2,NA,364.5,1,NA,NA,NA,NA,0.37,0.8
"Nothofagus dombeyi",0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,0.959,NA
"Nuphar advena",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,NA,180,NA,NA,NA,16,1,NA,NA,NA,NA,4
"Nymphaea odorata",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,NA,77.3333333333333,112.5,NA,NA,20.3333333333333,1,NA,NA,NA,NA,12.5
"Nymphoides peltata",1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1.075,5,NA,36.5,NA,2,1,NA,NA,NA,0.707826086956522,3.5
"Nyssa ogeche",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,1,0,0,1,0,NA,7.5,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA
"Ochroma pyramidale",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,30,17.5,99999,NA,NA,5,1,30,3.25,NA,NA,13.5
"Octoknema borealis",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,0,0,NA,NA,NA,5,1,NA,NA,3,NA,1.55,1.5,NA,NA,2.4
"Octomeles sumatrana",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA,NA,6.5,NA,NA,NA,7,NA,NA,NA,NA,NA,0.5
"Olea europaea",0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,15,2,2,17.5,24000,2,NA,1.6,1.3,NA,0.99,0.325
"Oryza sativa",1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,6,1,38,NA,1,NA,NA,NA,NA,0.0175454545454545,0.9
"Ottelia acuminata",1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,10.5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"Oxalis corniculata",1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,NA,10,7,NA,105.37,5,1,NA,NA,NA,NA,1.2
"Paeonia californica",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,1,0,0,0,1,0,0,1,0,0.55,86,17,NA,61434,8,0,NA,NA,NA,NA,4
"Panax quinquefolius",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,NA,NA,NA,NA,1,0,0,0,1,0.35,5,1.5,NA,NA,2,1,NA,NA,NA,0.40952380952381,0.3
"Pandanus tectorius",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,NA,NA,NA,1,1,5,15,1,NA,NA,11.75,NA,NA,NA,NA,0.98,NA
"Pennantia corymbosa",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,1,0,0,1,1,NA,5,0.666666666666667,NA,NA,3,1,0.9,0.5,NA,NA,NA
"Peritoma arborea",0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,1,1,0,NA,6,9.5,NA,NA,1,NA,NA,NA,NA,0.865,1.52
"Perrottetia ovata",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,2,1,NA,NA,NA,NA,NA
