NDat,NTaxDat,NChrDat,NRefDat,NCstDat,ValDat,MinDat,MaxDat,NotesDat,NDacDat,NRankDat,NDqsDat,NUsrcrDat,DcrDat,NUsrupDat,DupDat,DeleteDat,NUsrdelDat,DdelDat,PseudoDat,HistoryDat
142435,Schinus molle,301. Number of fertile stamens (C1),Flora of Pakistan 2014 (website),,10,,,,interpreted from the text,genus,,Elisabeth Reyes,18-Feb-14,,,0,,,0,"[As of 3/06/2014] Schinus molle / 301. Number of fertile stamens (C1): 10 [Flora of Pakistan 2014, Elisabeth Reyes, 18/02/2014]"
142439,Schinus molle,311. Anther orientation (D1),Bachelier & Endress 2009 (BJLS),311. Anther orientation (D1): (1) latrorse,,,,,interpreted from the text,species,,Elisabeth Reyes,18-Feb-14,Maria von Balthazar,19-Nov-15,0,,,0,"[As of 3/06/2014] Schinus molle / 311. Anther orientation (D1): (0) introrse [Watson & Dallwitz 2013, Elisabeth Reyes, 18/02/2014]_x000D_[Updated by Maria von Balthazar on 19/11/2015] Schinus molle / 311. Anther orientation (D1): (1) latrorse [Bachelier & Endre"
142441,Schinus molle,313. Anther dehiscence (D1),Watson & Dallwitz 2013 (website),313. Anther dehiscence (D1): (0) longitudinal slit,,,,,explicit from the text (described as such),family,,Elisabeth Reyes,18-Feb-14,,,0,,,0,"[As of 3/06/2014] Schinus molle / 313. Anther dehiscence (D1): (0) longitudinal [Watson & Dallwitz 2013, Elisabeth Reyes, 18/02/2014]"
142474,Ailanthus altissima,207. Symmetry of perianth (D1),Flora of China 2014 (website),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,,,,explicit from the text (described as such),family,,Elisabeth Reyes,18-Feb-14,,,0,,,0,"[As of 3/06/2014] Ailanthus altissima / 207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric) [Flora of China 2014, Elisabeth Reyes, 18/02/2014]"
142478,Ailanthus altissima,102. Ovary position (D1),Flora of China 2014 (website),102. Ovary position (D1): (0) superior,,,,,interpreted from the text,family,,Elisabeth Reyes,18-Feb-14,,,0,,,0,"[As of 3/06/2014] Ailanthus altissima / 102. Ovary position (D1): (0) superior [Flora of China 2014, Elisabeth Reyes, 18/02/2014]"
142481,Ailanthus altissima,301. Number of fertile stamens (C1),Flora of China 2014 (website),,10,,,,explicit from the text (described as such),species,,Elisabeth Reyes,18-Feb-14,,,0,,,0,"[As of 3/06/2014] Ailanthus altissima / 301. Number of fertile stamens (C1): 10 [Flora of China 2014, Elisabeth Reyes, 18/02/2014]"
142483,Ailanthus altissima,401. Number of structural carpels (C1),Flora of China 2014 (website),,5,,,,explicit from the text (described as such),family,,Elisabeth Reyes,18-Feb-14,,,0,,,0,"[As of 3/06/2014] Ailanthus altissima / 401. Number of carpels (C1): 5 [Flora of China 2014, Elisabeth Reyes, 18/02/2014]"
142486,Ailanthus altissima,100. Floral structural sex (D1),Flora of China 2014 (website),100. Floral structural sex (D1): (2) unisexual,,,,,interpreted from the text,genus,,Elisabeth Reyes,18-Feb-14,Hervé Sauquet,07-Jan-20,0,,,0,"[As of 3/06/2014] Ailanthus altissima / 100. Sex (D1): (4) functionally unisexual dioecious, structurally androdioecious [Flora of China 2014, Elisabeth Reyes, 18/02/2014]_x000D_[Automatically rescored by Hervé Sauquet on 7/01/2020] Ailanthus altissima / 100. F"
142491,Ailanthus altissima,311. Anther orientation (D1),Watson & Dallwitz 2013 (website),311. Anther orientation (D1): (0) introrse,,,,,interpreted from the text,family,,Elisabeth Reyes,18-Feb-14,,,0,,,0,"[As of 3/06/2014] Ailanthus altissima / 311. Anther orientation (D1): (0) introrse [Watson & Dallwitz 2013, Elisabeth Reyes, 18/02/2014]"
142626,Bixa orellana,207. Symmetry of perianth (D1),Flora of China 2014 (website),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,,,,explicit from the text (described as such),family,,Elisabeth Reyes,19-Feb-14,,,0,,,0,"[As of 3/06/2014] Bixa orellana / 207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric) [Flora of China 2014, Elisabeth Reyes, 19/02/2014]"
142748,Arabidopsis thaliana,313. Anther dehiscence (D1),Flora of North America 2014 (website),313. Anther dehiscence (D1): (0) longitudinal slit,,,,,explicit from the text (described as such),family,,Elisabeth Reyes,20-Feb-14,,,0,,,0,"[As of 3/06/2014] Arabidopsis thaliana / 313. Anther dehiscence (D1): (0) longitudinal [Flora of North America 2014, Elisabeth Reyes, 20/02/2014]"
142749,Arabidopsis thaliana,401. Number of structural carpels (C1),Flora of North America 2014 (website),,2,,,,explicit from the text (described as such),family,,Elisabeth Reyes,20-Feb-14,,,0,,,0,"[As of 3/06/2014] Arabidopsis thaliana / 401. Number of carpels (C1): 2 [Flora of North America 2014, Elisabeth Reyes, 20/02/2014]"
142757,Arabidopsis thaliana,102. Ovary position (D1),Flora of China 2014 (website),102. Ovary position (D1): (0) superior,,,,,explicit from the text (described as such),family,,Elisabeth Reyes,20-Feb-14,,,0,,,0,"[As of 3/06/2014] Arabidopsis thaliana / 102. Ovary position (D1): (0) superior [Flora of China 2014, Elisabeth Reyes, 20/02/2014]"
142787,Bretschneidera sinensis,207. Symmetry of perianth (D1),Flora of China 2014 (website),207. Symmetry of perianth (D1): (2) zygomorphic,,,,,explicit from the text (described as such),family,,Elisabeth Reyes,20-Feb-14,,,0,,,0,"[As of 3/06/2014] Bretschneidera sinensis / 207. Symmetry of perianth (D1): (B) zygomorphic [Flora of China 2014, Elisabeth Reyes, 20/02/2014]"
142802,Moringa oleifera,100. Floral structural sex (D1),Flora of China 2014 (website),100. Floral structural sex (D1): (0) bisexual,,,,,explicit from the text (described as such),family,,Elisabeth Reyes,20-Feb-14,,,0,,,0,"[As of 3/06/2014] Moringa oleifera / 100. Sex (D1): (0) bisexual (structurally and functionally) [Flora of China 2014, Elisabeth Reyes, 20/02/2014]"
142807,Moringa oleifera,102. Ovary position (D1),Flora of China 2014 (website),102. Ovary position (D1): (0) superior,,,,,explicit from the text (described as such),family,,Elisabeth Reyes,20-Feb-14,,,0,,,0,"[As of 3/06/2014] Moringa oleifera / 102. Ovary position (D1): (0) superior [Flora of China 2014, Elisabeth Reyes, 20/02/2014]"
142813,Moringa oleifera,301. Number of fertile stamens (C1),Flora of China 2014 (website),,5,,,the other whorl is of staminodes,interpreted from the text,family,,Elisabeth Reyes,20-Feb-14,,,0,,,0,"[As of 3/06/2014] Moringa oleifera / 301. Number of fertile stamens (C1): 5 [Flora of China 2014, Elisabeth Reyes, 20/02/2014] {the other whorl is of staminodes}"
142817,Moringa oleifera,207. Symmetry of perianth (D1),Flora of China 2014 (website),207. Symmetry of perianth (D1): (2) zygomorphic,,,,,guessed from the illustration,family,,Elisabeth Reyes,20-Feb-14,Elisabeth Reyes,20-Feb-14,0,,,0,"[As of 3/06/2014] Moringa oleifera / 207. Symmetry of perianth (D1): (B) zygomorphic [Flora of China 2014, Elisabeth Reyes, 20/02/2014]"
142825,Moringa oleifera,313. Anther dehiscence (D1),Watson & Dallwitz 2013 (website),313. Anther dehiscence (D1): (0) longitudinal slit,,,,,explicit from the text (described as such),family,,Elisabeth Reyes,20-Feb-14,,,0,,,0,"[As of 3/06/2014] Moringa oleifera / 313. Anther dehiscence (D1): (0) longitudinal [Watson & Dallwitz 2013, Elisabeth Reyes, 20/02/2014]"
142826,Moringa oleifera,401. Number of structural carpels (C1),Watson & Dallwitz 2013 (website),,3,,,,explicit from the text (described as such),family,,Elisabeth Reyes,20-Feb-14,,,0,,,0,"[As of 3/06/2014] Moringa oleifera / 401. Number of carpels (C1): 3 [Watson & Dallwitz 2013, Elisabeth Reyes, 20/02/2014]"
142827,Moringa oleifera,403. Fusion of ovaries (C1),Watson & Dallwitz 2013 (website),,1,,,,interpreted from the text,family,,Elisabeth Reyes,20-Feb-14,,,0,,,0,"[As of 3/06/2014] Moringa oleifera / 403. Fusion of ovaries (C1): 100% [Watson & Dallwitz 2013, Elisabeth Reyes, 20/02/2014]"
142953,Hamamelis virginiana,207. Symmetry of perianth (D1),Flora of North America 2014 (website),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,,,,interpreted from the text,genus,,Elisabeth Reyes,21-Feb-14,,,0,,,0,"[As of 3/06/2014] Hamamelis virginiana / 207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric) [Flora of North America 2014, Elisabeth Reyes, 21/02/2014]"
143039,Myriophyllum sibiricum,207. Symmetry of perianth (D1),Flora of China 2014 (website),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,,,,explicit from the text (described as such),family,,Elisabeth Reyes,21-Feb-14,,,0,,,0,"[As of 3/06/2014] Myriophyllum sibiricum / 207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric) [Flora of China 2014, Elisabeth Reyes, 21/02/2014]"
143040,Myriophyllum sibiricum,102. Ovary position (D1),Flora of China 2014 (website),102. Ovary position (D1): (1) inferior,,,,,explicit from the text (described as such),family,,Elisabeth Reyes,21-Feb-14,,,0,,,0,"[As of 3/06/2014] Myriophyllum sibiricum / 102. Ovary position (D1): (1) inferior [Flora of China 2014, Elisabeth Reyes, 21/02/2014]"
143094,Saxifraga cernua,239. Main color of perianth at anthesis (D1),Flora of China 2014 (website),239. Main color of perianth at anthesis (D1): (3) white,,,,,explicit from the text (described as such),species,,Kester Bull,21-Feb-14,Kester Bull,23-Feb-14,0,,,0,"[As of 3/06/2014] Saxifraga cernua / 239. Main color of perianth at anthesis (D1): (6) white [Flora of China 2014, Kester Bull, 23/02/2014]"
143095,Saxifraga cernua,100. Floral structural sex (D1),Flora of China 2014 (website),100. Floral structural sex (D1): (0) bisexual,,,,,explicit from the text (described as such),species,,Kester Bull,21-Feb-14,,,0,,,0,"[As of 3/06/2014] Saxifraga cernua / 100. Sex (D1): (0) bisexual (structurally and functionally) [Flora of China 2014, Kester Bull, 21/02/2014]"
143096,Saxifraga cernua,102. Ovary position (D1),Flora of China 2014 (website),102. Ovary position (D1): (4) 1/4-inferior or less,,,,"""subsuperior""",interpreted from the text,species,,Kester Bull,22-Feb-14,,,0,,,0,"[As of 3/06/2014] Saxifraga cernua / 102. Ovary position (D1): (5) 1/4-inferior or less [Flora of China 2014, Kester Bull, 22/02/2014] {""subsuperior""}"
143097,Saxifraga cernua,104. Flower diameter (C1),Flora of China 2014 (website),,,9,21,doubing petal length,interpreted from the text,species,2,Kester Bull,23-Feb-14,,,0,,,0,"[As of 3/06/2014] Saxifraga cernua / 104. Flower diameter (C1): 9.0-21.0 [Flora of China 2014, Kester Bull, 23/02/2014] {doubing petal length}"
143106,Saxifraga cernua,207. Symmetry of perianth (D1),Encyclopedia of Life 2014 (website),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,,,,seen explicitly on the illustration,species,,Kester Bull,23-Feb-14,,,0,,,0,"[As of 3/06/2014] Saxifraga cernua / 207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric) [Encyclopedia of Life 2014, Kester Bull, 23/02/2014]"
143107,Saxifraga cernua,239. Main color of perianth at anthesis (D1),Flora of China 2014 (website),239. Main color of perianth at anthesis (D1): (0) yellow,,,,,explicit from the text (described as such),species,,Kester Bull,23-Feb-14,,,0,,,0,"[As of 3/06/2014] Saxifraga cernua / 239. Main color of perianth at anthesis (D1): (1) yellow [Flora of China 2014, Kester Bull, 23/02/2014]"
143116,Saxifraga cernua,301. Number of fertile stamens (C1),Engler & Irmscher 1916-1919 (EnglerPrantl),,10,,,,explicit from the text (described as such),genus,,Kester Bull,23-Feb-14,,,0,,,0,"[As of 3/06/2014] Saxifraga cernua / 301. Number of fertile stamens (C1): 10 [Engler 1916-1919, Kester Bull, 23/02/2014]"
143124,Saxifraga cernua,313. Anther dehiscence (D1),Engler & Irmscher 1916-1919 (EnglerPrantl),313. Anther dehiscence (D1): (0) longitudinal slit,,,,,interpreted from the text,genus,,Kester Bull,23-Feb-14,,,0,,,0,"[As of 3/06/2014] Saxifraga cernua / 313. Anther dehiscence (D1): (0) longitudinal [Engler 1916-1919, Kester Bull, 23/02/2014]"
143128,Saxifraga cernua,401. Number of structural carpels (C1),Flora of North America 2014 (website),,2,,,,seen explicitly on the illustration,species,,Kester Bull,23-Feb-14,,,0,,,0,"[As of 3/06/2014] Saxifraga cernua / 401. Number of carpels (C1): 2 [Flora of North America 2014, Kester Bull, 23/02/2014]"
143130,Saxifraga cernua,403. Fusion of ovaries (C1),Flora of North America 2014 (website),,0.7,,,,guessed from the illustration,species,,Kester Bull,23-Feb-14,Kester Bull,23-Feb-14,0,,,0,"[As of 3/06/2014] Saxifraga cernua / 403. Fusion of ovaries (C1): 70% [Flora of North America 2014, Kester Bull, 23/02/2014]"
143320,Myrtus communis,207. Symmetry of perianth (D1),Watson & Dallwitz 2013 (website),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,,,,interpreted from the text,family,,Elisabeth Reyes,25-Feb-14,,,0,,,0,"[As of 3/06/2014] Myrtus communis / 207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric) [Watson & Dallwitz 2013, Elisabeth Reyes, 25/02/2014]"
145201,Potamogeton berchtoldii,100. Floral structural sex (D1),Flora of North America 2014 (website),100. Floral structural sex (D1): (2) unisexual,,,,,explicit from the text (described as such),family,,Elisabeth Reyes,06-Mar-14,Hervé Sauquet,07-Jan-20,0,,,0,"[As of 3/06/2014] Potamogeton berchtoldii / 100. Sex (D1): (1) unisexual monoecious (structurally) [Flora of North America 2014, Elisabeth Reyes, 6/03/2014]_x000D_[Automatically rescored by Hervé Sauquet on 7/01/2020] Potamogeton berchtoldii / 100. Floral struc"
148097,Schinus molle,401. Number of structural carpels (C1),Bachelier & Endress 2009 (BJLS),,3,,,,interpreted from the text,species,,Elisabeth Reyes,24-Apr-14,,,0,,,0,"[As of 3/06/2014] Schinus molle / 401. Number of carpels (C1): 3 [Bachelier & Endress 2009, Elisabeth Reyes, 24/04/2014]"
148100,Schinus molle,102. Ovary position (D1),Bachelier & Endress 2009 (BJLS),102. Ovary position (D1): (0) superior,,,,,explicit from the text (described as such),species,,Elisabeth Reyes,24-Apr-14,,,0,,,0,"[As of 3/06/2014] Schinus molle / 102. Ovary position (D1): (0) superior [Bachelier & Endress 2009, Elisabeth Reyes, 24/04/2014]"
148211,Lythrum salicaria,207. Symmetry of perianth (D1),Flora of Tasmania online 2014 (website),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,,,,explicit from the text (described as such),genus,,Elisabeth Reyes,25-Apr-14,,,0,,,0,"[As of 3/06/2014] Lythrum salicaria / 207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric) [Flora of Tasmania 2014, Elisabeth Reyes, 25/04/2014]"
148504,Kirkia wilmsii,100. Floral structural sex (D1),Bachelier & Endress 2008 (AnnBot),100. Floral structural sex (D1): (1) incompletely unisexual,,,,,interpreted from the text,species,,Elisabeth Reyes,30-Apr-14,Hervé Sauquet,07-Jan-20,0,,,0,"[As of 3/06/2014] Kirkia wilmsii / 100. Sex (D1): (3) functionally unisexual dioecious, structurally bisexual [Bachelier & Endress 2008, Elisabeth Reyes, 30/04/2014]_x000D_[Automatically rescored by Hervé Sauquet on 7/01/2020] Kirkia wilmsii / 100. Floral struc"
148509,Kirkia wilmsii,207. Symmetry of perianth (D1),Bachelier & Endress 2008 (AnnBot),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,,,,interpreted from the text,species,,Elisabeth Reyes,30-Apr-14,,,0,,,0,"[As of 3/06/2014] Kirkia wilmsii / 207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric) [Bachelier & Endress 2008, Elisabeth Reyes, 30/04/2014]"
148516,Kirkia wilmsii,301. Number of fertile stamens (C1),Bachelier & Endress 2008 (AnnBot),,,3,6,but mostly 4,interpreted from the text,species,,Elisabeth Reyes,30-Apr-14,,,0,,,0,"[As of 3/06/2014] Kirkia wilmsii / 301. Number of fertile stamens (C1): 3-6 [Bachelier & Endress 2008, Elisabeth Reyes, 30/04/2014] {but mostly 4}"
148518,Kirkia wilmsii,313. Anther dehiscence (D1),Bachelier & Endress 2008 (AnnBot),313. Anther dehiscence (D1): (0) longitudinal slit,,,,,explicit from the text (described as such),species,,Elisabeth Reyes,30-Apr-14,,,0,,,0,"[As of 3/06/2014] Kirkia wilmsii / 313. Anther dehiscence (D1): (0) longitudinal [Bachelier & Endress 2008, Elisabeth Reyes, 30/04/2014]"
148519,Kirkia wilmsii,311. Anther orientation (D1),Bachelier & Endress 2008 (AnnBot),311. Anther orientation (D1): (0) introrse,,,,,explicit from the text (described as such),species,,Elisabeth Reyes,30-Apr-14,,,0,,,0,"[As of 3/06/2014] Kirkia wilmsii / 311. Anther orientation (D1): (0) introrse [Bachelier & Endress 2008, Elisabeth Reyes, 30/04/2014]"
148520,Kirkia wilmsii,102. Ovary position (D1),Bachelier & Endress 2008 (AnnBot),102. Ovary position (D1): (0) superior,,,,,explicit from the text (described as such),species,,Elisabeth Reyes,30-Apr-14,,,0,,,0,"[As of 3/06/2014] Kirkia wilmsii / 102. Ovary position (D1): (0) superior [Bachelier & Endress 2008, Elisabeth Reyes, 30/04/2014]"
148521,Kirkia wilmsii,401. Number of structural carpels (C1),Bachelier & Endress 2008 (AnnBot),,,3,6,but mostly 4,interpreted from the text,species,,Elisabeth Reyes,30-Apr-14,,,0,,,0,"[As of 3/06/2014] Kirkia wilmsii / 401. Number of carpels (C1): 3-6 [Bachelier & Endress 2008, Elisabeth Reyes, 30/04/2014] {but mostly 4}"
148522,Kirkia wilmsii,403. Fusion of ovaries (C1),Bachelier & Endress 2008 (AnnBot),,1,,,,interpreted from the text,species,,Elisabeth Reyes,30-Apr-14,,,0,,,0,"[As of 3/06/2014] Kirkia wilmsii / 403. Fusion of ovaries (C1): 100% [Bachelier & Endress 2008, Elisabeth Reyes, 30/04/2014]"
150983,Commelina communis,207. Symmetry of perianth (D1),Flora of China 2014 (website),207. Symmetry of perianth (D1): (2) zygomorphic,,,,weakly,seen explicitly on the illustration,species,,Elisabeth Reyes,23-May-14,Elisabeth Reyes,08-Sep-14,0,,,0,"[As of 3/06/2014] Commelina communis / 207. Symmetry of perianth (D1): (9) zygomorphic by strong shape differentiation of inner adaxial tepal (labellum) [Flora of China 2014, Elisabeth Reyes, 23/05/2014]_x000D_[Updated by Elisabeth Reyes on 8/09/2014] Commelina"
150989,Commelina communis,301. Number of fertile stamens (C1),Flora of China 2014 (website),,3,,,,explicit from the text (described as such),genus,,Elisabeth Reyes,23-May-14,,,0,,,0,"[As of 3/06/2014] Commelina communis / 301. Number of fertile stamens (C1): 3 [Flora of China 2014, Elisabeth Reyes, 23/05/2014]"
150992,Commelina communis,313. Anther dehiscence (D1),Flora of China 2014 (website),313. Anther dehiscence (D1): (0) longitudinal slit,,,,,interpreted from the text,family,,Elisabeth Reyes,23-May-14,,,0,,,0,"[As of 3/06/2014] Commelina communis / 313. Anther dehiscence (D1): (0) longitudinal [Flora of China 2014, Elisabeth Reyes, 23/05/2014]"
151787,Cyrilla racemiflora,311. Anther orientation (D1),Marion Chartier  (personal observation),311. Anther orientation (D1): (0) introrse,,,,,,species,3,Marion Chartier,30-May-14,,,0,,,0,"[As of 3/06/2014] Cyrilla racemiflora / 311. Anther orientation (D1): (0) introrse [Marion Chartier , Marion Chartier, 30/05/2014]"
151939,Impatiens capensis,100. Floral structural sex (D1),Rust 1977 (BullTorreyBotClub),100. Floral structural sex (D1): (0) bisexual,,,,,explicit from the text (described as such),species,3,Maria von Balthazar,03-Jun-14,,,0,,,0,"[As of 3/06/2014] Impatiens capensis / 100. Sex (D1): (0) bisexual (structurally and functionally) [Rust 1977, Maria von Balthazar, 3/06/2014]"
151941,Impatiens capensis,207. Symmetry of perianth (D1),Rust 1977 (BullTorreyBotClub),207. Symmetry of perianth (D1): (2) zygomorphic,,,,,explicit from the text (described as such),species,3,Maria von Balthazar,03-Jun-14,,,0,,,0,"[As of 3/06/2014] Impatiens capensis / 207. Symmetry of perianth (D1): (B) zygomorphic [Rust 1977, Maria von Balthazar, 3/06/2014]"
151954,Impatiens capensis,301. Number of fertile stamens (C1),Rust 1977 (BullTorreyBotClub),,5,,,,explicit from the text (described as such),species,3,Maria von Balthazar,03-Jun-14,,,0,,,0,"[As of 3/06/2014] Impatiens capensis / 301. Number of fertile stamens (C1): 5 [Rust 1977, Maria von Balthazar, 3/06/2014]"
151966,Impatiens capensis,311. Anther orientation (D1),Wood 1975 (JArnArbor),311. Anther orientation (D1): (1) latrorse,,,,,seen explicitly on the illustration,species,,Maria von Balthazar,03-Jun-14,,,0,,,0,"[As of 3/06/2014] Impatiens capensis / 311. Anther orientation (D1): (1) latrorse [Wood 1975, Maria von Balthazar, 3/06/2014]"
151970,Impatiens capensis,313. Anther dehiscence (D1),Wood 1975 (JArnArbor),313. Anther dehiscence (D1): (0) longitudinal slit,,,,,seen explicitly on the illustration,species,3,Maria von Balthazar,03-Jun-14,,,0,,,0,"[As of 3/06/2014] Impatiens capensis / 313. Anther dehiscence (D1): (0) longitudinal [Wood 1975, Maria von Balthazar, 3/06/2014]"
151971,Impatiens capensis,102. Ovary position (D1),Wood 1975 (JArnArbor),102. Ovary position (D1): (0) superior,,,,,seen explicitly on the illustration,species,3,Maria von Balthazar,03-Jun-14,,,0,,,0,"[As of 3/06/2014] Impatiens capensis / 102. Ovary position (D1): (0) superior [Wood 1975, Maria von Balthazar, 3/06/2014]"
151972,Impatiens capensis,401. Number of structural carpels (C1),Wood 1975 (JArnArbor),,5,,,,seen explicitly on the illustration,species,3,Maria von Balthazar,03-Jun-14,,,0,,,0,"[As of 3/06/2014] Impatiens capensis / 401. Number of carpels (C1): 5 [Wood 1975, Maria von Balthazar, 3/06/2014]"
151973,Impatiens capensis,403. Fusion of ovaries (C1),Wood 1975 (JArnArbor),,1,,,,seen explicitly on the illustration,species,3,Maria von Balthazar,03-Jun-14,,,0,,,0,"[As of 3/06/2014] Impatiens capensis / 403. Fusion of ovaries (C1): 100% [Wood 1975, Maria von Balthazar, 3/06/2014]"
151975,Impatiens capensis,411. Number of ovules per functional carpel (C1),Wood 1975 (JArnArbor),,1,,,,guessed from the illustration,species,2,Maria von Balthazar,03-Jun-14,,,0,,,0,"[As of 3/06/2014] Impatiens capensis / 411. Number of ovules per carpel (C1): 1 [Wood 1975, Maria von Balthazar, 3/06/2014]"
152819,Alnus alnobetula,102. Ovary position (D1),Flora of North America 2014 (website),102. Ovary position (D1): (1) inferior,,,,,explicit from the text (described as such),family,,Elisabeth Reyes,16-Jun-14,,,0,,,0,"[Created by Elisabeth Reyes on 16/06/2014] Alnus viridis / 102. Ovary position (D1): (1) inferior [Flora of North America 2014, Elisabeth Reyes, 16/06/2014]"
153409,Monotropa hypopitys,301. Number of fertile stamens (C1),Flora of North America 2014 (website),,,8,10,,interpreted from the text,species,,Elisabeth Reyes,20-Jun-14,,,0,,,0,"[Created by Elisabeth Reyes on 20/06/2014] Monotropa hypopitys / 301. Number of fertile stamens (C1): 8-10 [Flora of North America 2014, Elisabeth Reyes, 20/06/2014]"
153413,Monotropa hypopitys,207. Symmetry of perianth (D1),Flora of North America 2014 (website),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,,,,interpreted from the text,genus,,Elisabeth Reyes,20-Jun-14,,,0,,,0,"[Created by Elisabeth Reyes on 20/06/2014] Monotropa hypopitys / 207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric) [Flora of North America 2014, Elisabeth Reyes, 20/06/2014]"
153416,Monotropa hypopitys,100. Floral structural sex (D1),Flora of North America 2014 (website),100. Floral structural sex (D1): (0) bisexual,,,,,interpreted from the text,family,,Elisabeth Reyes,20-Jun-14,Elisabeth Reyes,20-Jun-14,0,,,0,"[Created by Elisabeth Reyes on 20/06/2014] Monotropa hypopitys / 100. Sex (D1): (0) bisexual (structurally and functionally) [Flora of North America 2014, Elisabeth Reyes, 20/06/2014]_x000D_[Updated by Elisabeth Reyes on 20/06/2014] Monotropa hypopitys / 100. S"
153418,Monotropa hypopitys,102. Ovary position (D1),Flora of North America 2014 (website),102. Ovary position (D1): (0) superior,,,,,explicit from the text (described as such),family,,Elisabeth Reyes,20-Jun-14,,,0,,,0,"[Created by Elisabeth Reyes on 20/06/2014] Monotropa hypopitys / 102. Ovary position (D1): (0) superior [Flora of North America 2014, Elisabeth Reyes, 20/06/2014]"
153520,Geranium sanguineum,100. Floral structural sex (D1),Lambinon et al 2004 (book),100. Floral structural sex (D1): (0) bisexual,,,,,explicit from the text (described as such),genus,,Jan Perret,23-Jun-14,,,0,,,0,"[Created by Jan Perret on 23/06/2014] Geranium sanguineum / 100. Sex (D1): (0) bisexual (structurally and functionally) [Lambinon et al 2004, Jan Perret, 23/06/2014]"
153523,Geranium sanguineum,102. Ovary position (D1),Lambinon et al 2004 (book),102. Ovary position (D1): (0) superior,,,,,explicit from the text (described as such),genus,,Jan Perret,23-Jun-14,,,0,,,0,"[Created by Jan Perret on 23/06/2014] Geranium sanguineum / 102. Ovary position (D1): (0) superior [Lambinon et al 2004, Jan Perret, 23/06/2014]"
153529,Geranium sanguineum,239. Main color of perianth at anthesis (D1),Lambinon et al 2004 (book),239. Main color of perianth at anthesis (D1): (6) purple,,,,"""purpurins ou rouge carmin""",explicit from the text (described as such),species,,Jan Perret,23-Jun-14,,,0,,,0,"[Created by Jan Perret on 23/06/2014] Geranium sanguineum / 239. Main color of perianth at anthesis (D1): (6) purple [Lambinon et al 2004, Jan Perret, 23/06/2014] {""purpurins ou rouge carmin""}"
153530,Geranium sanguineum,239. Main color of perianth at anthesis (D1),Lambinon et al 2004 (book),239. Main color of perianth at anthesis (D1): (7) red,,,,"""purpurins ou rouge carmin""",explicit from the text (described as such),species,,Jan Perret,23-Jun-14,,,0,,,0,"[Created by Jan Perret on 23/06/2014] Geranium sanguineum / 239. Main color of perianth at anthesis (D1): (7) red [Lambinon et al 2004, Jan Perret, 23/06/2014] {""purpurins ou rouge carmin""}"
153535,Geranium sanguineum,401. Number of structural carpels (C1),Lambinon et al 2004 (book),,5,,,,explicit from the text (described as such),genus,,Jan Perret,23-Jun-14,,,0,,,0,"[Created by Jan Perret on 23/06/2014] Geranium sanguineum / 401. Number of carpels (C1): 5 [Lambinon et al 2004, Jan Perret, 23/06/2014]"
153536,Geranium sanguineum,403. Fusion of ovaries (C1),Lambinon et al 2004 (book),,1,,,,explicit from the text (described as such),genus,,Jan Perret,23-Jun-14,,,0,,,0,"[Created by Jan Perret on 23/06/2014] Geranium sanguineum / 403. Fusion of ovaries (C1): 100% [Lambinon et al 2004, Jan Perret, 23/06/2014]"
153545,Geranium sanguineum,411. Number of ovules per functional carpel (C1),Lambinon et al 2004 (book),,2,,,,explicit from the text (described as such),genus,,Jan Perret,23-Jun-14,,,0,,,0,"[Created by Jan Perret on 23/06/2014] Geranium sanguineum / 411. Number of ovules per carpel (C1): 2 [Lambinon et al 2004, Jan Perret, 23/06/2014]"
153546,Geranium sanguineum,207. Symmetry of perianth (D1),Encyclopedia of Life 2014 (website),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,,,,seen explicitly on the illustration,species,,Jan Perret,23-Jun-14,,,0,,,0,"[Created by Jan Perret on 23/06/2014] Geranium sanguineum / 207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric) [Encyclopedia of Life 2014, Jan Perret, 23/06/2014]"
